STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
      15000;2025092603:27;    1;  127.0;    0.0;    0.0;   0;   113.73;2025092604:00;eor
      15000;2025092604:27;    1;  127.0;    0.0;    0.0;   0;   105.05;2025092605:00;eor
      15000;2025092605:27;    1;  123.0;    0.0;    0.0;   0;    95.77;2025092606:00;eor
      15000;2025092606:27;    1;  109.0;    7.0;   11.0;  17;    86.32;2025092607:00;eor
      15000;2025092607:27;    1;  113.0;   27.0;   36.0;  12;    77.10;2025092608:00;eor
      15000;2025092608:27;    1;  127.0;   38.0;   39.0;   0;    68.54;2025092609:00;eor
      15000;2025092609:27;    1;  117.0;   84.0;  109.0;  18;    61.16;2025092610:00;eor
      15000;2025092610:27;    1;  116.0;   82.0;  142.0;  28;    55.63;2025092611:00;eor
      15000;2025092611:27;    1;  115.0;   88.0;  182.0;  41;    52.63;2025092612:00;eor
      15000;2025092612:27;    1;  122.0;  117.0;  147.0;  12;    52.64;2025092613:00;eor
      15000;2025092613:27;    1;  118.0;   94.0;  195.0;  42;    55.67;2025092614:00;eor
      15000;2025092614:27;    1;  107.0;   40.0;  161.0;  58;    61.24;2025092615:00;eor
      15000;2025092615:27;    1;  121.0;   56.0;   88.0;  32;    68.63;2025092616:00;eor
      15000;2025092616:27;    1;  108.0;   24.0;   42.0;  50;    77.22;2025092617:00;eor
      15000;2025092617:27;    1;  114.0;   14.0;   19.0;  39;    86.46;2025092618:00;eor
      15000;2025092618:27;    1;  124.0;    0.0;    0.0;   0;    95.93;2025092619:00;eor
      15000;2025092619:27;    1;  124.0;    0.0;    0.0;   0;   105.25;2025092620:00;eor
      15000;2025092620:27;    1;  129.0;    0.0;    0.0;   0;   113.95;2025092621:00;eor
      15000;2025092621:27;    1;  129.0;    0.0;    0.0;   0;   121.52;2025092622:00;eor
      15000;2025092622:27;    1;  128.0;    0.0;    0.0;   0;   127.27;2025092623:00;eor
      15000;2025092623:27;    1;  129.0;    0.0;    0.0;   0;   130.42;2025092700:00;eor
      15000;2025092700:26;    1;  127.0;    0.0;    0.0;   0;   130.44;2025092701:00;eor
      15000;2025092701:26;    1;  113.0;    0.0;    0.0;   0;   127.31;2025092702:00;eor
      15000;2025092702:26;    1;  128.0;    0.0;    0.0;   0;   121.60;2025092703:00;eor
      15000;2025092703:26;    1;  127.0;    0.0;    0.0;   0;   114.05;2025092704:00;eor
      15000;2025092704:26;    1;  124.0;    0.0;    0.0;   0;   105.36;2025092705:00;eor
      15000;2025092705:26;    1;  127.0;    0.0;    0.0;   0;    96.08;2025092706:00;eor
      15000;2025092706:26;    1;  127.0;    3.0;    3.0;   0;    86.63;2025092707:00;eor
      15000;2025092707:26;    1;  128.0;   20.0;   20.0;   0;    77.41;2025092708:00;eor
      15000;2025092708:26;    1;  128.0;   36.0;   37.0;   0;    68.87;2025092709:00;eor
      15000;2025092709:26;    1;  110.0;   55.0;  161.0;  56;    61.51;2025092710:00;eor
      15000;2025092710:26;    1;  122.0;   87.0;  124.0;  17;    56.00;2025092711:00;eor
      15000;2025092711:26;    1;  128.0;   92.0;  116.0;  14;    53.01;2025092712:00;eor
      15000;2025092712:26;    1;  129.0;   90.0;   97.0;   6;    53.03;2025092713:00;eor
      15000;2025092713:26;    1;  127.0;   98.0;  135.0;  19;    56.05;2025092714:00;eor
      15000;2025092714:26;    1;  117.0;   67.0;  160.0;  45;    61.59;2025092715:00;eor
      15000;2025092715:26;    1;  121.0;   68.0;  132.0;  52;    68.96;2025092716:00;eor
      15000;2025092716:26;    1;  115.0;   34.0;   72.0;  57;    77.53;2025092717:00;eor
      15000;2025092717:26;    1;  114.0;    9.0;   16.0;  31;    86.76;2025092718:00;eor
      15000;2025092718:26;    1;  105.0;    0.0;    0.0;   0;    96.24;2025092719:00;eor
      15000;2025092719:26;    1;  105.0;    0.0;    0.0;   0;   105.55;2025092720:00;eor
      15000;2025092720:26;    1;  107.0;    0.0;    0.0;   0;   114.28;2025092721:00;eor
      15000;2025092721:26;    1;  105.0;    0.0;    0.0;   0;   121.87;2025092722:00;eor
      15000;2025092722:26;    1;  104.0;    0.0;    0.0;   0;   127.64;2025092723:00;eor
      15000;2025092723:26;    1;  103.0;    0.0;    0.0;   0;   130.81;2025092800:00;eor
      15000;2025092800:26;    1;  106.0;    0.0;    0.0;   0;   130.83;2025092801:00;eor
      15000;2025092801:26;    1;  105.0;    0.0;    0.0;   0;   127.69;2025092802:00;eor
      15000;2025092802:26;    1;  105.0;    0.0;    0.0;   0;   121.94;2025092803:00;eor
      15000;2025092803:26;    1;  104.0;    0.0;    0.0;   0;   114.38;2025092804:00;eor
      15000;2025092804:26;    1;  104.0;    0.0;    0.0;   0;   105.67;2025092805:00;eor
      15000;2025092805:26;    1;  104.0;    0.0;    0.0;   0;    96.38;2025092806:00;eor
      15000;2025092806:26;    1;  103.0;    5.0;   14.0;  37;    86.93;2025092807:00;eor
      15000;2025092807:26;    1;  104.0;   13.0;   63.0;  60;    77.72;2025092808:00;eor
      15000;2025092808:26;    1;  106.0;   17.0;  118.0;  60;    69.19;2025092809:00;eor
      15000;2025092809:26;    1;  108.0;   20.0;  166.0;  60;    61.86;2025092810:00;eor
      15000;2025092810:26;    1;  110.0;   25.0;  200.0;  60;    56.37;2025092811:00;eor
      15000;2025092811:26;    1;  112.0;   38.0;  223.0;  60;    53.40;2025092812:00;eor
      15000;2025092812:26;    1;  115.0;   58.0;  217.0;  60;    53.42;2025092813:00;eor
      15000;2025092813:26;    1;  123.0;   82.0;  119.0;  24;    56.42;2025092814:00;eor
      15000;2025092814:26;    1;  131.0;   74.0;   77.0;   0;    61.94;2025092815:00;eor
      15000;2025092815:26;    1;  129.0;   53.0;   54.0;   0;    69.29;2025092816:00;eor
      15000;2025092816:26;    1;  131.0;   24.0;   25.0;   0;    77.84;2025092817:00;eor
      15000;2025092817:26;    1;  128.0;    5.0;    5.0;   0;    87.07;2025092818:00;eor
      15000;2025092818:26;    1;  114.0;    0.0;    0.0;   0;    96.54;2025092819:00;eor
      15000;2025092819:26;    1;  109.0;    0.0;    0.0;   0;   105.86;2025092820:00;eor
      15000;2025092820:26;    1;  108.0;    0.0;    0.0;   0;   114.60;2025092821:00;eor
      15000;2025092821:26;    1;  108.0;    0.0;    0.0;   0;   122.22;2025092822:00;eor
      15000;2025092822:26;    1;  108.0;    0.0;    0.0;   0;   128.01;2025092823:00;eor
      15000;2025092823:26;    1;  110.0;    0.0;    0.0;   0;   131.20;2025092900:00;eor
      15000;2025092900:26;    1;  127.0;    0.0;    0.0;   0;   131.21;2025092901:00;eor
      15000;2025092901:26;    1;  127.0;    0.0;    0.0;   0;   128.05;2025092902:00;eor
      15000;2025092902:26;    1;  124.0;    0.0;    0.0;   0;   122.29;2025092903:00;eor
      15000;2025092903:26;    1;  127.0;    0.0;    0.0;   0;   114.70;2025092904:00;eor
      15000;2025092904:26;    1;  128.0;    0.0;    0.0;   0;   105.98;2025092905:00;eor
      15000;2025092905:26;    1;  127.0;    0.0;    0.0;   0;    96.68;2025092906:00;eor
      15000;2025092906:26;    1;  127.0;    5.0;    5.0;   0;    87.23;2025092907:00;eor
      15000;2025092907:26;    1;  127.0;   25.0;   25.0;   0;    78.03;2025092908:00;eor
